Pos,No,Driver,Car,Time,Gap,Laps
1,11,Sergio PerezPER,Red Bull Racing RBPT,1:30.304,,21
2,16,Charles LeclercLEC,Ferrari,1:30.498,+0.194s,23
3,1,Max VerstappenVER,Red Bull Racing RBPT,1:30.649,+0.345s,20
4,14,Fernando AlonsoALO,Alpine Renault,1:31.036,+0.732s,18
5,5,Sebastian VettelVET,Aston Martin Aramco Mercedes,1:31.049,+0.745s,24
6,47,Mick SchumacherMSC,Haas Ferrari,1:31.050,+0.746s,19
7,55,Carlos SainzSAI,Ferrari,1:31.172,+0.868s,24
8,20,Kevin MagnussenMAG,Haas Ferrari,1:31.227,+0.923s,20
9,23,Alexander AlbonALB,Williams Mercedes,1:31.501,+1.197s,14
10,4,Lando NorrisNOR,McLaren Mercedes,1:31.594,+1.290s,18
11,22,Yuki TsunodaTSU,AlphaTauri RBPT,1:31.659,+1.355s,24
12,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:31.665,+1.361s,22
13,3,Daniel RicciardoRIC,McLaren Mercedes,1:31.728,+1.424s,19
14,77,Valtteri BottasBOT,Alfa Romeo Ferrari,1:31.885,+1.581s,26
15,44,Lewis HamiltonHAM,Mercedes,1:31.890,+1.586s,20
16,10,Pierre GaslyGAS,AlphaTauri RBPT,1:31.901,+1.597s,18
17,63,George RussellRUS,Mercedes,1:31.924,+1.620s,19
18,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,1:32.051,+1.747s,16
19,6,Nicholas LatifiLAT,Williams Mercedes,1:32.376,+2.072s,16
20,31,Esteban OconOCO,Alpine Renault,,,3
